road,frc,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,Delay,delay ratio,Traffic level,Day,Hour,minute,latitude,longitude
12.0,3.0,9,18,1192,596,0.83273,596,1.0,0,1,11,45,19.42,72.84
13.0,3.0,3,11,12,3,1.0,9,3.0,0,1,11,45,19.2183,72.9781
13.0,3.0,20,20,154,154,1.0,0,0.0,1,1,11,45,20.011,73.79
8.0,0.0,33,40,1085,895,1.0,190,0.2122905027932961,2,1,11,45,19.25,73.05
8.0,3.0,18,22,243,199,1.0,44,0.22110552763819097,2,1,11,45,19.25,72.98
6.0,3.0,12,14,1060,909,0.605523,151,0.16611661166116612,2,1,11,45,19.23,73.08
6.0,3.0,15,15,428,428,1.0,0,0.0,1,1,11,45,19.25,73.01
5.0,3.0,18,24,2108,1581,0.813181,527,0.3333333333333333,2,1,11,45,19.22,73.05
5.0,3.0,16,16,928,928,1.0,0,0.0,1,1,11,45,19.3,73.08
3.0,3.0,13,16,1037,843,0.815922,194,0.23013048635824437,2,1,11,45,19.22,73.07
3.0,3.0,24,24,1302,1302,1.0,0,0.0,1,1,11,45,19.24,73.1
1.0,0.0,33,40,1085,895,1.0,190,0.2122905027932961,2,1,11,45,19.25,73.05
1.0,3.0,15,15,428,428,1.0,0,0.0,1,1,11,45,19.25,73.01
0.0,3.0,32,32,489,489,1.0,0,0.0,1,1,11,45,19.18,72.98
0.0,2.0,26,26,227,227,1.0,0,0.0,1,1,11,45,19.22,72.95
7.0,3.0,18,24,2108,1581,0.813181,527,0.3333333333333333,2,1,11,45,19.21,73.06
7.0,1.0,36,36,1986,1986,1.0,0,0.0,1,1,11,45,19.04,73.24
15.0,3.0,17,19,1644,1471,0.961575,173,0.11760707002039429,1,1,11,45,19.25,73.03
15.0,0.0,22,31,1902,1350,0.978011,552,0.4088888888888889,2,1,11,45,19.24,73.01
2.0,3.0,12,14,1060,909,0.605523,151,0.16611661166116612,2,1,11,45,19.23,73.08
2.0,3.0,13,16,1037,843,0.815922,194,0.23013048635824437,2,1,11,45,19.22,73.07
18.0,0.0,30,40,1193,895,1.0,298,0.3329608938547486,2,1,12,14,19.25,73.05
18.0,3.0,16,22,274,199,1.0,75,0.3768844221105528,2,1,12,14,19.25,72.98
4.0,3.0,11,11,3,3,1.0,0,0.0,1,1,12,14,19.2183,72.9781
4.0,3.0,19,19,148,148,1.0,0,0.0,1,1,12,14,19.076,72.8777
9.0,3.0,16,21,300,228,0.981738,72,0.3157894736842105,2,1,12,14,19.196,72.96
9.0,1.0,54,54,126,126,1.0,0,0.0,1,1,12,14,19.05,72.87
